"date","Q1","Q2"
1984.77322404372,165,19.1
1984.77595628415,161,19
1984.77868852459,158,25.9
1984.78142076503,157,35.5
1984.78415300546,157,33
1984.7868852459,158,21.2
1984.78961748634,151,20
1984.79234972678,157,20
1984.79508196721,156,15.1
1984.79781420765,159,14
1984.80054644809,160,13
1984.80327868852,155,14
1984.80601092896,151,14
1984.8087431694,151,14
1984.81147540984,150,14
1984.81420765027,143,14
1984.81693989071,143,13
1984.81967213115,160,15
1984.82240437158,155,16
1984.82513661202,154,15
1984.82786885246,153,15
1984.8306010929,151,17.9
1984.83333333333,147,17.4
1984.83606557377,137,17
1984.83879781421,150,19
1984.84153005464,143,19
1984.84426229508,134,17
1984.84699453552,144,19
1984.84972677596,141,19
1984.85245901639,142,19
1984.85519125683,135,19
1984.85792349727,128,15.8
1984.8606557377,144,14
1984.86338797814,137,15
1984.86612021858,136,17
1984.86885245902,139,18
1984.87158469945,122,16
1984.87431693989,122,13.1
1984.87704918033,143,15.9
1984.87978142077,128,16
1984.8825136612,118,13.1
1984.88524590164,117,12
1984.88797814208,113,13
1984.89071038251,122,14
1984.89344262295,119,13
1984.89617486339,124,14
1984.89890710383,123,14
1984.90163934426,118,12
1984.9043715847,104,9.85
1984.90710382514,132,12.9
1984.90983606557,138,15
1984.91256830601,136,12.1
1984.91530054645,139,12
1984.91803278689,136,12
1984.92076502732,133,13
1984.92349726776,140,15
1984.9262295082,129,14
1984.92896174863,130,14
1984.93169398907,133,14
1984.93442622951,137,14
1984.93715846995,141,15
1984.93989071038,134,15
1984.94262295082,134,16
1984.94535519126,133,17
1984.94808743169,133,16
1984.95081967213,133,16
1984.95355191257,134,15
1984.95628415301,132,15
1984.95901639344,129,14
1984.96174863388,127,14
1984.96448087432,136,15
1984.96721311475,132,16
1984.96994535519,128,13
1984.97267759563,114,11
1984.97540983607,105,10
1984.9781420765,102,9
1984.98087431694,107,9.4
1984.98360655738,117,12
1984.98633879781,123,15
1984.98907103825,129,19
1984.99180327869,125,17
1984.99453551913,117,15
1984.99726775956,122,14
1985,114,13
1985.00273972603,103,12
1985.00547945205,111,13
1985.00821917808,116,13
1985.01095890411,117,14
1985.01369863014,117,14
1985.01643835616,118,15
1985.01917808219,121,15
1985.02191780822,116,16
1985.02465753425,107,15
1985.02739726027,111,14
1985.0301369863,109,13
1985.03287671233,102,12
1985.03561643836,104,15
1985.03835616438,100,16
1985.04109589041,105,17
1985.04383561644,105,18
1985.04657534247,109,18
1985.04931506849,111,18
1985.05205479452,93,18
1985.05479452055,89,18
1985.05753424658,93,18
1985.0602739726,90,18
1985.06301369863,88,17
1985.06575342466,88,17
1985.06849315068,90,18
1985.07123287671,92,17
1985.07397260274,88,16
1985.07671232877,88,16
1985.07945205479,86,16
1985.08219178082,76,16
1985.08493150685,72,16
1985.08767123288,67,15
1985.0904109589,75,16
1985.09315068493,77,17
1985.09589041096,74,17
1985.09863013699,76,17
1985.10136986301,73,17
1985.10410958904,77,16
1985.10684931507,75,15
1985.1095890411,71,13
1985.11232876712,68,12
